"","ref_id","equation_id","equation_allometry","equation_form","dependent_variable","independent_variable","equation_taxa","allometry_specificity","equation_categ","geographic_area","original_coord","lat","long","elev_m","geography_notes","mat_c","min.temp_c","max.temp_c","map_mm","frost_free_period_days","climate_notes","stand_age_range_yr","stand_age_history","stand_basal_area_m2_ha","stand_trees_ha","forest_description","ecosystem_type","koppen","dbh_min_cm","dbh_max_cm","sample_size","collection_year","dbh_units_original","dbh_unit_cf","output_units_original","output_units_cf","allometry_development_method","regression_model","r_squared","other_equations_tested","log_biomass","bias_corrected","bias_correction_factor","notes_fitting_model","original_equation_id","original_data_availability","equation_notes"
"1","chapman_1991_apac","a4e4d1","exp(-2.192-0.011*dbh+2.67*(log(dbh)))","exp(a+b*dbh+c*(log(dbh)))","Total aboveground biomass","DBH","Acer saccharum","Species","sp_spec","Wisconsin, USA","NI","43.7","-90.57","375","Location estimated from brief description or regional map in original pub","NI","-8","22","814","NI","The area has a humid, continental climate","45-85  yrs","Unmanaged, naturally regenerated ridgetop forests","17-41","741-1363","Mature forest supporting maple-boxwood complex","Temperate forest","Dfb",2.8,69.5,18,"1989","cm",1,"kg",1,"harvest","log-transformed","0.99","NI","1","1","1.05",NA,"Northern red oak","NRA",NA
"2","clark_1986b_wvap","dfc2c7","2.02338*(dbh^2)^1.27612","a*(dbh^2)^b","Whole tree (above stump)","DBH","Acer rubrum","Species","sp_spec","Southern Appalachian Mountains (USA)","NI","35.3","-83.7","1230","Coordinates estimated as center point between 2 sampled national forest.","NI","NI","NI","NI","NI",NA,"42-73 yrs","Uneven-aged hardwood stands","NI","NI","Old growth forest","Temperate forest","Cfa",12.95,27.18,18,"1985","inch",0.393701,"lbs",0.453592,"harvest","linear","0.98","NI","0","1",NA,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure.","Red maple","Yes",NA
"3","clark_1986b_wvap","eac63e","5.2879*(dbh^2)^1.07581","a*(dbh^2)^b","Whole tree (above stump)","DBH","Acer rubrum","Species","sp_spec","Southern Appalachian Mountains (USA)","NI","35.3","-83.7","1230","Coordinates estimated as center point between 2 sampled national forest.","NI","NI","NI","NI","NI",NA,"50-89 yrs","Uneven-aged hardwood stands","NI","NI","Old growth forest","Temperate forest","Cfa",30.48,42.67,12,"1985","inch",0.393701,"lbs",0.453592,"harvest","linear","0.98","NI","0","1",NA,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure.","Red maple","Yes",NA
"4","fenn_2014_tcco","f49bcb","exp(-5.644074+(2.5189*(log(pi*dbh))))","exp(a+(b*(log(pi*dbh))))","Total aboveground biomass","DBH","Acer pseudoplatanus","Species","sp_site_spec","Wytham Woods, Oxfordshire, UK","51°46' N, 1°19' W","51.8","-1.3","62",NA,"10","NI","NI","714","NRA",NA,"NRA","Managed by timber removal but undisturbed since the last 40 yrs","NRA","NRA","Ancient semi-natural woodland meaning site has a continuous forest cover through recorded history since approximately 1600","Temperate forest","Cfb",11.5,96.5,10,"1966","cm",1,"kg",1,"harvest","log-log transformed","NI","NI","1","1",NA,NA,NA,"NRA",NA
"5","he_2018_abfe","14bf3d","0.0335*(dbh)^1.606+0.0026*(dbh)^3.323+0.1222*(dbh)^2.310","a*dbh^b+c*dbh^d+e*dbh^f","Total aboveground biomass","DBH","Acer mandshuricum","Species","sp_spec","Northeastern China","43°58"" N, 127°43""E","43.97","127.72","450",NA,"3.8","-18.6","21.7","696","NI",NA,"NI","NI","NI","NI","Homogeneous natural coniferous and broadleaved mixed forest.","Temperate forest","Dwb",7.8,35.9,10,"2012","cm",1,"kg",1,"harvest","log-transformed","0.934","NI","0","1",NA,NA,"A. mandshuricum","NRA",NA
"6","he_2018_abfe","0c7cd6","0.0202*(dbh)^1.810+0.0111*(dbh)^2.740+0.1156*(dbh)^2.336","a*dbh^b+c*dbh^d+e*dbh^f","Total aboveground biomass","DBH","Acer mono","Species","sp_spec","Northeastern China","43°58"" N, 127°43""E","43.97","127.72","450",NA,"3.8","-18.6","21.7","696","NI",NA,"NI","NI","NI","NI","Homogeneous natural coniferous and broadleaved mixed forest.","Temperate forest","Dwb",6.4,45.3,12,"2012","cm",1,"kg",1,"harvest","log-transformed","0.955","NI","0","1",NA,NA,"A. mono","NRA",NA
"7","jenkins_2004_cdod","138258","exp(-1.721+2.334*log(dbh))","exp(a+b*log(dbh))","Total aboveground biomass","DBH","Acer rubrum","Species","sp_spec","Wisconsin, Michigan, USA","45°30'N,  89°20'W","45.5","-89.3","NI",NA,"5.3","NI","NI","800","NI",NA,"NI","Heavy logging of pine and hardwoods occurred during the early 1900s, subsequent fires occurring until 1926","17.99","NI","Second-growth forests of aspen, birch, and maple","Temperate forest","Dfb",10,52.2,150,"1978","cm",1,"kg",1,"harvest","log-log transformed","0.98","NI","1","1","1.007",NA,"Red maple","NRA",NA
"8","jenkins_2004_cdod","2060ea","10^(1.1891+1.419*(log10(dbh^2)))","10^(a+b*(log10(dbh^c)))","Total aboveground biomass","DBH","Acer rubrum","Species","sp_spec","Ohio, USA","NI","NI","NI","NI","Location: ""Eastern and southern Ohio""","Ni","NI","NI","NI","NI",NA,"50 yrs","NI","NI","NI","Mixed hardwoods","Temperate forest","Cfa",0.21,5.73,45,"NI","cm",1,"g",0.001,"harvest","log-log transformed (base10)","0.91","NI","1","1","1.056",NA,"Red maple","NRA",NA
"9","jenkins_2004_cdod","5084bd","exp(-2.037+2.363*log(dbh))","exp(a+b*log(dbh))","Total aboveground biomass","DBH","Acer rubrum","Species","sp_spec","Wisconsin, Michigan, USA","45°30'N,  89°20'W","45.5","-89.3","NI",NA,"5.3","NI","NI","800","NI",NA,"NI","Heavy logging of pine and hardwoods occurred during the early 1900s, subsequent fires occurring until 1926","17.99","NI","Second-growth forests of aspen, birch, and maple","Temperate forest","Dfb",3.1,24.6,41,"1978","cm",1,"kg",1,"harvest","log-transformed","0.99","NI","1","1","1.01",NA,"Red maple","NRA",NA
"10","jenkins_2004_cdod","7c72ed","exp(4.5893+2.43*log(dbh))","exp(a+b*log(dbh))","Total aboveground biomass","DBH","Acer rubrum","Species","sp_spec","Eastern USA","NI","NI","NI","NI",NA,"NI","NI","NI","NI","NI",NA,"NI","NI","NI","NI","NI","Temperate forest","Cfa; Dfa; Dfb",1,55,NA,"NI","cm",1,"g",0.001,"harvest","log-transformed","1","NI","1","0",NA,NA,"Red maple","NRA",NA
