"","treeID","stemID","dbh","genus","species","Family"
"1",2695,2695,1.410000038,"Acer","negundo","Sapindaceae"
"2",1229,38557,1.670000076,"Acer","negundo","Sapindaceae"
"3",1230,1230,1.419999981,"Acer","negundo","Sapindaceae"
"4",1295,32303,1.039999962,"Acer","negundo","Sapindaceae"
"5",1229,32273,2.470000076,"Acer","negundo","Sapindaceae"
"6",66,31258,2.189999962,"Acer","negundo","Sapindaceae"
"7",2600,2600,1.810000038,"Acer","negundo","Sapindaceae"
"8",4936,4936,1.35,"Acer","negundo","Sapindaceae"
"9",1229,36996,2.05,"Acer","negundo","Sapindaceae"
"10",1005,1005,1.410000038,"Acer","negundo","Sapindaceae"
"11",66,66,2.289999962,"Acer","negundo","Sapindaceae"
"12",1069,1069,1.110000038,"Acer","negundo","Sapindaceae"
"13",4848,4848,21.41999969,"Acer","negundo","Sapindaceae"
"14",1229,1229,3.379999924,"Acer","negundo","Sapindaceae"
"15",1295,1295,1.089999962,"Acer","negundo","Sapindaceae"
"16",1139,1139,43.97000122,"Acer","rubrum","Sapindaceae"
"17",1160,1160,23.21000061,"Acer","rubrum","Sapindaceae"
"18",2436,2436,37.37999878,"Acer","rubrum","Sapindaceae"
"19",1046,1046,16.41999969,"Acer","rubrum","Sapindaceae"
"20",29,31221,20.06999969,"Acer","rubrum","Sapindaceae"
"21",1134,32233,60.00999756,"Acer","rubrum","Sapindaceae"
"22",1031,1031,42.5,"Acer","rubrum","Sapindaceae"
"23",3800,3800,33.21000061,"Acer","rubrum","Sapindaceae"
"24",6092,6092,7.180000305,"Acer","rubrum","Sapindaceae"
"25",3756,3756,6.209999847,"Acer","rubrum","Sapindaceae"
"26",29,29,32.62999878,"Acer","rubrum","Sapindaceae"
"27",1157,1157,55.62999878,"Acer","rubrum","Sapindaceae"
"28",6003,6003,8.480000305,"Acer","rubrum","Sapindaceae"
"29",1134,1134,60.70999756,"Acer","rubrum","Sapindaceae"
"30",6003,32933,4.120000076,"Acer","rubrum","Sapindaceae"
"31",1030,1030,45.01000061,"Acer","rubrum","Sapindaceae"
"32",1032,1032,37.85,"Acer","rubrum","Sapindaceae"
"33",3848,3848,1.310000038,"Ailanthus","altissima","Simaroubaceae"
"34",6127,37242,1.289999962,"Amelanchier","arborea","Rosaceae"
"35",1163,1163,2.989999962,"Amelanchier","arborea","Rosaceae"
"36",132,132,2.4,"Amelanchier","arborea","Rosaceae"
"37",4901,32791,1.860000038,"Amelanchier","arborea","Rosaceae"
"38",3836,32658,1.660000038,"Amelanchier","arborea","Rosaceae"
"39",4906,4906,3.670000076,"Amelanchier","arborea","Rosaceae"
"40",4996,32810,1.710000038,"Amelanchier","arborea","Rosaceae"
"41",6127,6127,5.729999924,"Amelanchier","arborea","Rosaceae"
"42",6120,32950,3.65,"Amelanchier","arborea","Rosaceae"
"43",6130,6130,1.620000076,"Amelanchier","arborea","Rosaceae"
"44",1159,1159,13.41000061,"Amelanchier","arborea","Rosaceae"
"45",4933,4933,4.25,"Amelanchier","arborea","Rosaceae"
"46",4932,32803,3.309999847,"Amelanchier","arborea","Rosaceae"
"47",3834,3834,2.95,"Amelanchier","arborea","Rosaceae"
"48",4996,37192,2.060000038,"Amelanchier","arborea","Rosaceae"
"49",3033,32559,2.179999924,"Amelanchier","arborea","Rosaceae"
"50",4979,4979,2.339999962,"Amelanchier","arborea","Rosaceae"
"51",5011,37193,1.160000038,"Amelanchier","arborea","Rosaceae"
"52",4964,4964,3.340000153,"Amelanchier","arborea","Rosaceae"
"53",6129,6129,6.890000153,"Amelanchier","arborea","Rosaceae"
"54",131,36540,2.310000038,"Amelanchier","arborea","Rosaceae"
"55",3742,3742,2.5,"Amelanchier","arborea","Rosaceae"
"56",1161,1161,3.060000038,"Amelanchier","arborea","Rosaceae"
"57",6084,6084,3.609999847,"Amelanchier","arborea","Rosaceae"
"58",1162,1162,7.559999847,"Amelanchier","arborea","Rosaceae"
"59",3823,3823,5.390000153,"Amelanchier","arborea","Rosaceae"
"60",4932,38652,1.569999981,"Amelanchier","arborea","Rosaceae"
"61",4977,4977,1.8,"Amelanchier","arborea","Rosaceae"
"62",4916,4916,3,"Amelanchier","arborea","Rosaceae"
